operator_id,module_id,recommended_at,reason,completed_at,quiz_score_pct
OP1006,TRN-IDLE-01,2024-11-22 09:25:00,excessive_idling,,
OP1005,TRN-SWING-01,2024-11-23 08:45:00,fast_swing,2024-11-27 17:59:49.602107069,88.0
OP1002,TRN-ENGINE-01,2024-11-23 13:15:00,over_rev,2024-11-24 21:34:23.857142989,91.0
OP1004,TRN-CAB-01,2024-11-24 01:50:00,operator_out_of_seat,2024-11-24 22:03:21.313250050,62.0
OP1003,TRN-BELT-01,2024-11-25 08:55:00,seatbelt_off_while_moving,2024-11-28 08:10:30.548442804,89.0
OP1007,TRN-PROX-01,2024-11-25 18:45:00,near_miss_person,2024-11-28 01:00:56.937783823,68.0
OP1002,TRN-PROX-01,2024-11-26 03:31:00,near_miss_person,2024-11-27 00:10:02.418484163,98.0
OP1001,TRN-SWING-01,2024-11-26 09:40:00,harsh_operation,2024-11-30 21:20:21.321538891,55.0
OP1008,TRN-BELT-01,2024-11-27 08:00:00,seatbelt_off_while_moving,,
OP1001,TRN-SWING-01,2024-11-27 11:30:00,harsh_operation,,
OP1004,TRN-CAB-01,2024-11-28 16:05:00,operator_out_of_seat,2024-12-03 02:12:14.454041234,74.0
OP1008,TRN-BELT-01,2024-11-28 23:10:00,seatbelt_off_while_moving,2024-12-03 09:05:47.134239662,92.0
OP1008,TRN-SWING-01,2024-11-29 11:35:00,fast_swing,2024-12-03 04:18:44.826235124,63.0
OP1002,TRN-FATIGUE-01,2024-11-29 18:50:00,fatigue,2024-11-30 12:50:34.038110081,80.0
OP1006,TRN-PROX-01,2024-11-29 22:13:00,near_miss_person,2024-11-30 19:16:28.217427711,72.0
OP1004,TRN-TRAVEL-01,2024-11-30 12:40:00,bucket_raised_travel,2024-12-01 03:14:43.107148469,56.0
OP1003,TRN-IDLE-01,2024-12-01 02:00:00,excessive_idling,,
OP1007,TRN-TRAVEL-01,2024-12-02 07:35:00,overspeed,2024-12-03 22:31:35.576214220,61.0
OP1012,TRN-BELT-01,2024-12-03 10:35:00,seatbelt_off_while_moving,2024-12-08 01:45:35.240762720,66.0
OP1004,TRN-SWING-01,2024-12-03 12:05:00,fast_swing,,
OP1005,TRN-PROX-01,2024-12-03 16:27:00,near_miss_person,2024-12-04 04:34:07.870935914,75.0
OP1004,TRN-SWING-01,2024-12-04 12:00:00,fast_swing,,
OP1005,TRN-TRAVEL-01,2024-12-04 14:05:00,bucket_raised_travel,2024-12-05 02:23:26.186121157,91.0
OP1004,TRN-PROX-01,2024-12-05 12:05:00,near_miss_person,2024-12-06 23:25:52.795496547,60.0
OP1002,TRN-PROX-01,2024-12-05 14:43:00,near_miss_person,2024-12-09 03:25:32.887232919,91.0
OP1006,TRN-SLOPE-01,2024-12-06 14:45:00,slope_exceeded,2024-12-07 18:41:19.326258272,81.0
OP1004,TRN-SWING-01,2024-12-07 12:05:00,fast_swing,2024-12-10 05:43:57.686122877,69.0
OP1002,TRN-ENGINE-01,2024-12-07 13:20:00,over_rev,2024-12-12 00:39:00.831309319,97.0
OP1005,TRN-IDLE-01,2024-12-09 14:45:00,excessive_idling,2024-12-12 07:31:13.128916735,98.0
OP1005,TRN-SEC-01,2024-12-09 17:25:00,fuel_theft,2024-12-11 23:37:29.018117297,73.0
OP1007,TRN-SWING-01,2024-12-10 15:45:00,harsh_operation,,
OP1004,TRN-FATIGUE-01,2024-12-11 11:55:00,fatigue,2024-12-14 03:16:02.089764121,71.0
OP1003,TRN-SLOPE-01,2024-12-12 09:00:00,slope_exceeded,2024-12-16 09:33:20.476757860,73.0
OP1010,TRN-SLOPE-01,2024-12-13 11:20:00,slope_exceeded,2024-12-14 20:07:20.898077913,87.0
OP1008,TRN-FATIGUE-01,2024-12-13 11:45:00,fatigue,2024-12-14 03:12:24.531645491,68.0
OP1006,TRN-CAB-01,2024-12-13 11:50:00,operator_out_of_seat,2024-12-15 13:59:24.150548893,71.0
OP1005,TRN-IDLE-01,2024-12-13 12:20:00,excessive_idling,2024-12-16 02:06:27.983175519,98.0
OP1006,TRN-FATIGUE-01,2024-12-13 16:55:00,fatigue,2024-12-14 12:40:24.356348149,55.0
OP1004,TRN-SEC-01,2024-12-13 19:20:00,after_hours_use,2024-12-16 01:55:25.533959646,75.0
OP1004,TRN-FATIGUE-01,2024-12-14 13:50:00,fatigue,,
OP1007,TRN-PROX-01,2024-12-14 14:36:00,near_miss_person,2024-12-19 08:20:35.902259223,75.0
OP1006,TRN-LOAD-01,2024-12-14 14:45:00,overload,2024-12-15 14:20:27.647869484,96.0
OP1007,TRN-FATIGUE-01,2024-12-14 16:45:00,fatigue,2024-12-18 07:50:53.713752301,75.0
OP1001,TRN-SWING-01,2024-12-16 09:25:00,fast_swing,2024-12-19 17:33:25.726851543,79.0
OP1001,TRN-PROX-01,2024-12-16 15:38:00,near_miss_person,2024-12-18 18:43:38.284384552,63.0
OP1006,TRN-CAB-01,2024-12-16 23:10:00,operator_out_of_seat,,
OP1006,TRN-IDLE-01,2024-12-17 09:15:00,excessive_idling,,
OP1003,TRN-PROX-01,2024-12-17 11:03:00,near_miss_person,2024-12-18 08:51:29.893819160,84.0
OP1007,TRN-LOAD-01,2024-12-18 10:50:00,low_productivity,,
OP1008,TRN-FATIGUE-01,2024-12-19 11:50:00,fatigue,,
OP1004,TRN-ENGINE-01,2024-12-20 16:45:00,over_rev,2024-12-24 06:21:33.248035279,87.0
OP1001,TRN-TRAVEL-01,2024-12-21 00:55:00,bucket_raised_travel,,
OP1005,TRN-LOAD-01,2024-12-22 01:35:00,low_productivity,2024-12-24 01:17:38.569616431,100.0
OP1007,TRN-IDLE-01,2024-12-23 17:05:00,excessive_idling,2024-12-28 11:23:55.916773825,62.0
OP1008,TRN-ENGINE-01,2024-12-24 21:05:00,overheating,,
OP1001,TRN-FATIGUE-01,2024-12-25 11:45:00,fatigue,2024-12-29 13:32:33.292600037,82.0
OP1005,TRN-LOAD-01,2024-12-27 08:00:00,low_productivity,2024-12-31 23:03:40.956953438,78.0
OP1005,TRN-IDLE-01,2024-12-27 09:35:00,excessive_idling,2024-12-29 13:02:04.903596378,83.0
OP1001,TRN-SWING-01,2024-12-27 10:30:00,fast_swing,,
OP1001,TRN-TRAVEL-01,2024-12-28 07:30:00,bucket_raised_travel,2025-01-01 15:18:02.793870458,80.0
OP1008,TRN-SWING-01,2024-12-28 10:40:00,fast_swing,,
OP1002,TRN-PROX-01,2024-12-28 14:48:00,near_miss_person,2024-12-29 08:25:44.368931799,75.0
OP1011,TRN-FATIGUE-01,2024-12-30 18:45:00,fatigue,2024-12-31 08:09:11.072904671,96.0
OP1006,TRN-CAB-01,2024-12-30 19:35:00,unsafe_refuelling,2025-01-02 01:56:56.660752150,75.0
OP1007,TRN-PROX-01,2024-12-31 10:29:00,near_miss_person,2025-01-05 09:07:01.504193410,61.0
OP1005,TRN-PROX-01,2024-12-31 12:51:00,near_miss_person,2025-01-02 01:56:32.609149821,87.0
OP1003,TRN-SEC-01,2024-12-31 17:25:00,fuel_theft,2025-01-05 10:28:58.880325293,89.0
OP1011,TRN-TRAVEL-01,2025-01-01 07:30:00,bucket_raised_travel,2025-01-02 13:52:36.976512999,76.0
OP1002,TRN-CAB-01,2025-01-01 07:40:00,unsafe_refuelling,2025-01-05 10:33:34.020739842,86.0
OP1001,TRN-TRAVEL-01,2025-01-01 09:00:00,overspeed,2025-01-05 09:33:45.005425528,83.0
OP1006,TRN-IDLE-01,2025-01-01 14:10:00,excessive_idling,2025-01-02 06:08:53.038896425,93.0
OP1010,TRN-IDLE-01,2025-01-02 11:40:00,excessive_idling,2025-01-05 22:57:24.668616714,74.0
OP1005,TRN-SWING-01,2025-01-03 04:00:00,fast_swing,2025-01-06 21:42:39.454603047,100.0
OP1008,TRN-CAB-01,2025-01-03 09:40:00,operator_out_of_seat,,
OP1007,TRN-ENGINE-01,2025-01-03 11:35:00,over_rev,2025-01-06 09:24:12.727036646,65.0
OP1001,TRN-SWING-01,2025-01-03 11:50:00,fast_swing,2025-01-05 03:57:58.392471622,100.0
OP1004,TRN-ENGINE-01,2025-01-03 14:25:00,overheating,2025-01-08 09:14:11.880302336,50.0
OP1004,TRN-FATIGUE-01,2025-01-03 16:00:00,fatigue,2025-01-05 18:43:47.657566055,50.0
OP1003,TRN-BELT-01,2025-01-03 16:20:00,seatbelt_off_while_moving,2025-01-05 01:07:40.642447949,85.0
OP1007,TRN-LOAD-01,2025-01-04 09:55:00,low_productivity,2025-01-09 03:51:08.253834197,62.0
OP1005,TRN-LOAD-01,2025-01-04 14:25:00,overload,,
OP1003,TRN-SLOPE-01,2025-01-05 02:00:00,slope_exceeded,2025-01-06 21:57:00.266992101,76.0
OP1008,TRN-SWING-01,2025-01-06 10:40:00,fast_swing,,
OP1005,TRN-FATIGUE-01,2025-01-07 11:50:00,fatigue,2025-01-09 13:55:50.502238057,81.0
OP1004,TRN-SWING-01,2025-01-07 16:25:00,harsh_operation,2025-01-12 04:41:31.695270776,73.0
OP1004,TRN-IDLE-01,2025-01-07 16:55:00,excessive_idling,2025-01-09 18:56:43.999318711,59.0
OP1003,TRN-SEC-01,2025-01-07 19:40:00,unauthorized_operator,2025-01-10 12:26:30.884241058,85.0
OP1003,TRN-PROX-01,2025-01-08 09:22:00,near_miss_person,,
OP1001,TRN-FATIGUE-01,2025-01-08 11:35:00,fatigue,2025-01-13 05:18:05.914782329,81.0
OP1008,TRN-CAB-01,2025-01-08 11:40:00,operator_out_of_seat,2025-01-09 03:40:05.541882996,90.0
OP1004,TRN-PROX-01,2025-01-08 11:46:00,near_miss_person,2025-01-10 04:59:52.845410271,76.0
OP1001,TRN-FATIGUE-01,2025-01-09 19:05:00,fatigue,2025-01-13 17:57:52.143292213,70.0
OP1007,TRN-FATIGUE-01,2025-01-10 18:10:00,fatigue,,
OP1009,TRN-CAB-01,2025-01-11 12:00:00,operator_out_of_seat,2025-01-15 04:51:25.991510017,74.0
OP1004,TRN-FATIGUE-01,2025-01-11 17:35:00,fatigue,2025-01-15 07:31:51.005808239,66.0
OP1004,TRN-CAB-01,2025-01-13 07:15:00,unsafe_refuelling,2025-01-14 11:50:03.118537357,65.0
OP1008,TRN-BELT-01,2025-01-13 10:15:00,seatbelt_off_while_moving,2025-01-15 16:40:14.812964049,79.0
OP1007,TRN-BELT-01,2025-01-13 10:20:00,seatbelt_off_while_moving,2025-01-14 06:36:29.896475488,79.0
OP1003,TRN-CAB-01,2025-01-13 12:35:00,operator_out_of_seat,2025-01-15 06:02:53.609072996,95.0
OP1007,TRN-LOAD-01,2025-01-14 08:45:00,overload,2025-01-18 09:24:45.868327002,50.0
OP1005,TRN-FATIGUE-01,2025-01-14 23:25:00,fatigue,2025-01-19 04:53:48.939472389,81.0
OP1005,TRN-FATIGUE-01,2025-01-15 00:00:00,fatigue,2025-01-16 09:23:10.785743628,71.0
OP1003,TRN-PROX-01,2025-01-15 14:22:00,near_miss_person,2025-01-20 03:12:49.533045432,73.0
OP1007,TRN-IDLE-01,2025-01-15 14:30:00,excessive_idling,2025-01-19 12:01:41.781319914,61.0
OP1005,TRN-FATIGUE-01,2025-01-16 11:20:00,fatigue,2025-01-19 05:37:26.251005674,89.0
OP1005,TRN-LOAD-01,2025-01-16 12:20:00,low_productivity,2025-01-19 03:36:03.716477082,78.0
OP1004,TRN-LOAD-01,2025-01-16 16:05:00,overload,,
OP1004,TRN-IDLE-01,2025-01-16 16:25:00,excessive_idling,2025-01-20 03:08:03.784989396,67.0
OP1007,TRN-CAB-01,2025-01-17 13:45:00,operator_out_of_seat,2025-01-22 06:12:24.311599331,74.0
OP1008,TRN-IDLE-01,2025-01-18 12:15:00,excessive_idling,2025-01-19 18:02:24.618427912,66.0
OP1005,TRN-SWING-01,2025-01-18 14:50:00,fast_swing,2025-01-19 16:13:29.366487031,94.0
OP1004,TRN-FATIGUE-01,2025-01-18 20:00:00,fatigue,2025-01-22 22:34:22.639883369,55.0
OP1002,TRN-TRAVEL-01,2025-01-20 07:30:00,overspeed,2025-01-23 03:27:26.609793935,87.0
OP1004,TRN-FATIGUE-01,2025-01-20 17:15:00,fatigue,2025-01-22 20:35:57.303425004,78.0
OP1003,TRN-FATIGUE-01,2025-01-21 00:05:00,fatigue,,
OP1001,TRN-FATIGUE-01,2025-01-21 13:40:00,fatigue,2025-01-24 01:19:48.468377068,75.0
OP1002,TRN-PROX-01,2025-01-21 15:17:00,near_miss_person,2025-01-24 11:08:26.483397251,96.0
OP1008,TRN-IDLE-01,2025-01-21 23:20:00,excessive_idling,2025-01-26 11:26:49.026382563,99.0
OP1009,TRN-PROX-01,2025-01-22 09:19:00,near_miss_person,2025-01-25 02:28:45.774031174,73.0
OP1002,TRN-IDLE-01,2025-01-22 10:20:00,excessive_idling,2025-01-25 07:01:39.434883757,99.0
OP1005,TRN-PROX-01,2025-01-22 15:33:00,near_miss_person,2025-01-24 01:18:45.464270978,90.0
OP1009,TRN-FATIGUE-01,2025-01-22 16:35:00,fatigue,2025-01-25 11:39:09.855908026,59.0
OP1004,TRN-ENGINE-01,2025-01-23 00:00:00,over_rev,2025-01-25 01:30:23.986755174,62.0
OP1001,TRN-SWING-01,2025-01-23 11:25:00,harsh_operation,2025-01-26 02:07:29.819354262,83.0
OP1005,TRN-SLOPE-01,2025-01-23 12:10:00,slope_exceeded,2025-01-28 01:03:52.689939546,100.0
OP1012,TRN-TRAVEL-01,2025-01-24 07:50:00,bucket_raised_travel,,
OP1012,TRN-ENGINE-01,2025-01-24 13:05:00,overheating,2025-01-25 06:31:32.823852479,71.0
OP1007,TRN-FATIGUE-01,2025-01-24 16:55:00,fatigue,2025-01-25 06:10:26.926940663,54.0
OP1005,TRN-FATIGUE-01,2025-01-25 16:30:00,fatigue,2025-01-30 04:05:01.235378264,89.0
OP1002,TRN-LOAD-01,2025-01-25 20:20:00,overload,2025-01-27 07:31:27.321265734,72.0
OP1008,TRN-BELT-01,2025-01-27 13:25:00,seatbelt_off_while_moving,2025-01-31 05:45:07.152909999,81.0
OP1010,TRN-FATIGUE-01,2025-01-28 11:45:00,fatigue,,
OP1006,TRN-SEC-01,2025-01-28 16:35:00,fuel_theft,,
OP1002,TRN-SWING-01,2025-01-29 08:20:00,harsh_operation,,
OP1007,TRN-TRAVEL-01,2025-01-30 10:40:00,bucket_raised_travel,2025-02-03 15:39:08.401043165,63.0
OP1001,TRN-SWING-01,2025-01-30 15:45:00,fast_swing,2025-02-03 14:22:05.099708624,81.0
OP1001,TRN-PROX-01,2025-01-30 16:01:00,near_miss_person,2025-02-03 14:45:45.020457287,82.0
OP1006,TRN-IDLE-01,2025-01-31 09:35:00,excessive_idling,2025-02-05 07:27:38.173087500,86.0
OP1005,TRN-CAB-01,2025-01-31 10:35:00,operator_out_of_seat,2025-02-01 01:18:22.564827169,89.0
OP1002,TRN-SWING-01,2025-02-03 12:15:00,fast_swing,,
OP1003,TRN-TRAVEL-01,2025-02-04 11:00:00,overspeed,2025-02-09 06:15:43.965127366,78.0
OP1004,TRN-FATIGUE-01,2025-02-04 11:15:00,fatigue,2025-02-05 03:31:30.416475893,65.0
OP1007,TRN-PROX-01,2025-02-04 15:46:00,near_miss_person,2025-02-05 23:22:48.257290229,47.0
OP1007,TRN-IDLE-01,2025-02-05 11:20:00,excessive_idling,2025-02-07 16:49:53.018783696,56.0
OP1004,TRN-ENGINE-01,2025-02-06 09:55:00,over_rev,2025-02-10 09:20:11.092050366,67.0
OP1007,TRN-ENGINE-01,2025-02-06 09:55:00,over_rev,2025-02-08 03:08:05.458975375,73.0
OP1007,TRN-SLOPE-01,2025-02-06 11:20:00,slope_exceeded,,
OP1005,TRN-FATIGUE-01,2025-02-06 16:30:00,fatigue,2025-02-10 04:56:14.518603000,100.0
OP1008,TRN-IDLE-01,2025-02-06 16:30:00,excessive_idling,2025-02-08 14:07:40.194483427,67.0
OP1003,TRN-CAB-01,2025-02-07 08:55:00,operator_out_of_seat,2025-02-08 20:10:48.663513277,69.0
OP1001,TRN-SEC-01,2025-02-07 19:30:00,unauthorized_operator,2025-02-09 17:28:44.252107601,75.0
OP1002,TRN-PROX-01,2025-02-08 12:19:00,near_miss_person,2025-02-11 23:44:30.361351060,100.0
OP1004,TRN-FATIGUE-01,2025-02-08 18:35:00,fatigue,2025-02-09 08:03:27.669542799,65.0
OP1001,TRN-SWING-01,2025-02-10 08:45:00,harsh_operation,2025-02-11 08:13:42.946095552,68.0
OP1004,TRN-CAB-01,2025-02-10 16:05:00,operator_out_of_seat,2025-02-12 09:06:53.848994317,64.0
OP1004,TRN-SEC-01,2025-02-10 19:50:00,fuel_theft,2025-02-11 17:36:23.011823052,61.0
OP1005,TRN-LOAD-01,2025-02-11 13:05:00,low_productivity,2025-02-16 01:47:15.672519404,89.0
OP1004,TRN-SEC-01,2025-02-11 20:10:00,after_hours_use,,
OP1008,TRN-FATIGUE-01,2025-02-12 02:00:00,fatigue,2025-02-12 16:34:19.773978809,87.0
OP1004,TRN-LOAD-01,2025-02-12 07:55:00,low_productivity,2025-02-15 12:20:11.901774711,54.0
OP1002,TRN-IDLE-01,2025-02-12 11:20:00,excessive_idling,2025-02-14 06:24:18.822882986,100.0
OP1001,TRN-PROX-01,2025-02-12 15:39:00,near_miss_person,2025-02-14 03:51:31.370686218,91.0
OP1004,TRN-SWING-01,2025-02-13 13:20:00,fast_swing,2025-02-14 20:11:48.460385621,65.0
OP1003,TRN-PROX-01,2025-02-14 10:38:00,near_miss_person,,
OP1004,TRN-FATIGUE-01,2025-02-14 14:25:00,fatigue,2025-02-16 04:34:48.430747383,65.0
OP1002,TRN-FATIGUE-01,2025-02-15 06:40:00,fatigue,2025-02-17 00:15:22.549505744,85.0
OP1002,TRN-PROX-01,2025-02-17 10:41:00,near_miss_person,2025-02-17 23:55:53.823009647,82.0
OP1001,TRN-PROX-01,2025-02-17 14:17:00,near_miss_person,2025-02-20 03:56:53.242757082,77.0
OP1005,TRN-CAB-01,2025-02-18 11:35:00,operator_out_of_seat,2025-02-22 07:27:23.846993833,91.0
OP1003,TRN-SWING-01,2025-02-19 07:55:00,fast_swing,2025-02-22 19:08:51.083362924,74.0
OP1012,TRN-FATIGUE-01,2025-02-19 11:20:00,fatigue,2025-02-21 20:57:06.336269065,60.0
OP1001,TRN-SWING-01,2025-02-20 13:05:00,fast_swing,2025-02-22 15:11:37.341977787,61.0
OP1004,TRN-LOAD-01,2025-02-21 09:05:00,overload,2025-02-22 09:41:50.296110192,58.0
OP1002,TRN-FATIGUE-01,2025-02-22 16:50:00,fatigue,2025-02-23 06:52:52.682281381,95.0
OP1004,TRN-LOAD-01,2025-02-24 13:10:00,low_productivity,2025-02-28 05:27:26.953766121,62.0
OP1006,TRN-SEC-01,2025-02-24 19:25:00,unauthorized_operator,2025-02-27 16:23:31.792370782,80.0
OP1006,TRN-PROX-01,2025-02-25 11:12:00,near_miss_person,2025-02-27 14:03:17.324141756,75.0
OP1008,TRN-BELT-01,2025-02-26 11:35:00,seatbelt_off_while_moving,,
OP1006,TRN-TRAVEL-01,2025-02-26 13:15:00,bucket_raised_travel,2025-02-28 17:31:05.570287744,75.0
OP1003,TRN-SEC-01,2025-02-26 19:00:00,fuel_theft,2025-03-03 14:08:30.785758471,74.0
OP1004,TRN-IDLE-01,2025-02-26 22:30:00,excessive_idling,2025-02-27 10:40:40.387012795,71.0
OP1007,TRN-IDLE-01,2025-02-28 13:35:00,excessive_idling,2025-03-01 03:43:53.651241443,67.0
OP1002,TRN-TRAVEL-01,2025-03-01 07:30:00,bucket_raised_travel,2025-03-06 05:08:25.214054557,77.0
OP1007,TRN-BELT-01,2025-03-01 10:30:00,seatbelt_off_while_moving,2025-03-02 13:46:50.357166087,71.0
OP1005,TRN-FATIGUE-01,2025-03-01 18:00:00,fatigue,,
OP1001,TRN-FATIGUE-01,2025-03-01 18:45:00,fatigue,2025-03-05 02:45:04.291916396,84.0
OP1001,TRN-BELT-01,2025-03-03 16:30:00,seatbelt_off_while_moving,2025-03-06 01:06:37.572840325,89.0
OP1012,TRN-SEC-01,2025-03-04 17:05:00,fuel_theft,2025-03-08 19:52:06.958946307,74.0
OP1004,TRN-FATIGUE-01,2025-03-05 18:50:00,fatigue,2025-03-10 14:51:23.704985782,69.0
OP1002,TRN-FATIGUE-01,2025-03-06 19:20:00,fatigue,2025-03-11 06:32:41.189620149,86.0
OP1007,TRN-FATIGUE-01,2025-03-10 17:00:00,fatigue,2025-03-12 18:29:01.939980772,70.0
OP1007,TRN-CAB-01,2025-03-11 11:40:00,operator_out_of_seat,2025-03-15 08:45:34.550395053,70.0
OP1008,TRN-LOAD-01,2025-03-12 03:10:00,low_productivity,,
OP1010,TRN-ENGINE-01,2025-03-12 07:50:00,over_rev,2025-03-15 21:10:36.431721367,96.0
OP1004,TRN-SEC-01,2025-03-12 21:50:00,unauthorized_operator,2025-03-13 12:44:06.471204413,75.0
OP1006,TRN-CAB-01,2025-03-13 09:30:00,operator_out_of_seat,2025-03-17 16:10:42.786702434,92.0
OP1005,TRN-TRAVEL-01,2025-03-14 10:25:00,overspeed,2025-03-19 09:15:21.340897528,76.0
OP1003,TRN-FATIGUE-01,2025-03-16 05:00:00,fatigue,2025-03-19 18:56:41.168036399,80.0
OP1007,TRN-TRAVEL-01,2025-03-17 10:55:00,overspeed,2025-03-20 11:18:09.753127568,70.0
OP1012,TRN-TRAVEL-01,2025-03-17 12:40:00,overspeed,2025-03-21 09:17:47.451600999,57.0
OP1005,TRN-FATIGUE-01,2025-03-17 18:40:00,fatigue,2025-03-19 01:32:57.032939048,65.0
OP1005,TRN-IDLE-01,2025-03-18 11:25:00,excessive_idling,,
OP1004,TRN-FATIGUE-01,2025-03-19 00:00:00,fatigue,,
OP1004,TRN-ENGINE-01,2025-03-19 12:55:00,overheating,2025-03-22 23:21:17.132903672,53.0
OP1007,TRN-FATIGUE-01,2025-03-20 17:25:00,fatigue,2025-03-24 11:38:24.589537715,79.0
OP1007,TRN-BELT-01,2025-03-21 13:40:00,seatbelt_off_while_moving,2025-03-24 18:51:39.805663971,83.0
OP1008,TRN-TRAVEL-01,2025-03-22 07:45:00,bucket_raised_travel,2025-03-23 21:55:55.476569869,95.0
OP1010,TRN-BELT-01,2025-03-22 08:55:00,seatbelt_off_while_moving,,
OP1008,TRN-PROX-01,2025-03-24 11:27:00,near_miss_person,2025-03-26 21:46:23.690664882,100.0
OP1006,TRN-FATIGUE-01,2025-03-24 11:40:00,fatigue,,
OP1003,TRN-SLOPE-01,2025-03-24 16:15:00,slope_exceeded,2025-03-27 02:03:35.817124533,69.0
OP1004,TRN-SWING-01,2025-03-25 11:20:00,harsh_operation,2025-03-30 08:42:04.006938077,65.0
OP1004,TRN-SWING-01,2025-03-25 15:15:00,fast_swing,2025-03-29 21:06:03.411659550,66.0
OP1007,TRN-CAB-01,2025-03-25 15:25:00,operator_out_of_seat,,
OP1003,TRN-ENGINE-01,2025-03-26 08:30:00,over_rev,2025-03-28 01:58:52.029447561,83.0
OP1003,TRN-CAB-01,2025-03-26 13:10:00,operator_out_of_seat,2025-03-30 10:20:44.442782857,65.0
